,radio,timestamp,txs,macaddr,num_frames,num_acked,probe,rate0,count0,rate1,count1,rate2,count2,rate3,count3
2022-10-11 00:40:56.630753647,phy1,2022-10-11 00:40:56.630753647,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.633138161,phy1,2022-10-11 00:40:56.633138161,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.635431809,phy1,2022-10-11 00:40:56.635431809,txs,00:0a:52:07:3a:85,6,4,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.637703456,phy1,2022-10-11 00:40:56.637703456,txs,00:0a:52:07:3a:85,7,7,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.640034121,phy1,2022-10-11 00:40:56.640034121,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.642254224,phy1,2022-10-11 00:40:56.642254224,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.644500519,phy1,2022-10-11 00:40:56.644500519,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.646626474,phy1,2022-10-11 00:40:56.646626474,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.649150395,phy1,2022-10-11 00:40:56.649150395,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.651301283,phy1,2022-10-11 00:40:56.651301283,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.653545482,phy1,2022-10-11 00:40:56.653545482,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.656067937,phy1,2022-10-11 00:40:56.656067937,txs,00:0a:52:07:3a:85,6,3,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.658393433,phy1,2022-10-11 00:40:56.658393433,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.660599009,phy1,2022-10-11 00:40:56.660599009,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.662815341,phy1,2022-10-11 00:40:56.662815341,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.665213963,phy1,2022-10-11 00:40:56.665213963,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.667475763,phy1,2022-10-11 00:40:56.667475763,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.669849870,phy1,2022-10-11 00:40:56.669849870,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.672156719,phy1,2022-10-11 00:40:56.672156719,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.674424385,phy1,2022-10-11 00:40:56.674424385,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.680962749,phy1,2022-10-11 00:40:56.680962749,txs,00:0a:52:07:3a:85,6,6,0,4,1,2,1,65535,0,65535,0
2022-10-11 00:40:56.683199684,phy1,2022-10-11 00:40:56.683199684,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.685206347,phy1,2022-10-11 00:40:56.685206347,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.687645269,phy1,2022-10-11 00:40:56.687645269,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.689832057,phy1,2022-10-11 00:40:56.689832057,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.692375394,phy1,2022-10-11 00:40:56.692375394,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.694559179,phy1,2022-10-11 00:40:56.694559179,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.696873431,phy1,2022-10-11 00:40:56.696873431,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.699270028,phy1,2022-10-11 00:40:56.699270028,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.701565422,phy1,2022-10-11 00:40:56.701565422,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.703752070,phy1,2022-10-11 00:40:56.703752070,txs,00:0a:52:07:3a:85,6,4,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.706280671,phy1,2022-10-11 00:40:56.706280671,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.708470323,phy1,2022-10-11 00:40:56.708470323,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.710822499,phy1,2022-10-11 00:40:56.710822499,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.712982607,phy1,2022-10-11 00:40:56.712982607,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.715425161,phy1,2022-10-11 00:40:56.715425161,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.717564805,phy1,2022-10-11 00:40:56.717564805,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.719929344,phy1,2022-10-11 00:40:56.719929344,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.722025056,phy1,2022-10-11 00:40:56.722025056,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.724337353,phy1,2022-10-11 00:40:56.724337353,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.730563378,phy1,2022-10-11 00:40:56.730563378,txs,00:0a:52:07:3a:85,6,6,0,4,1,2,1,65535,0,65535,0
2022-10-11 00:40:56.732769163,phy1,2022-10-11 00:40:56.732769163,txs,00:0a:52:07:3a:85,6,4,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.734940935,phy1,2022-10-11 00:40:56.734940935,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.737349126,phy1,2022-10-11 00:40:56.737349126,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.739598703,phy1,2022-10-11 00:40:56.739598703,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.741936492,phy1,2022-10-11 00:40:56.741936492,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.744357883,phy1,2022-10-11 00:40:56.744357883,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.746627017,phy1,2022-10-11 00:40:56.746627017,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.748973187,phy1,2022-10-11 00:40:56.748973187,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.751402470,phy1,2022-10-11 00:40:56.751402470,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.753672092,phy1,2022-10-11 00:40:56.753672092,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.755863071,phy1,2022-10-11 00:40:56.755863071,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.758029395,phy1,2022-10-11 00:40:56.758029395,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.760398264,phy1,2022-10-11 00:40:56.760398264,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.762637714,phy1,2022-10-11 00:40:56.762637714,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.765145780,phy1,2022-10-11 00:40:56.765145780,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.767151395,phy1,2022-10-11 00:40:56.767151395,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.769617067,phy1,2022-10-11 00:40:56.769617067,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.772177167,phy1,2022-10-11 00:40:56.772177167,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.774348589,phy1,2022-10-11 00:40:56.774348589,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.776678137,phy1,2022-10-11 00:40:56.776678137,txs,00:0a:52:07:3a:85,6,4,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.783070808,phy1,2022-10-11 00:40:56.783070808,txs,00:0a:52:07:3a:85,6,6,0,4,1,2,1,65535,0,65535,0
2022-10-11 00:40:56.785326252,phy1,2022-10-11 00:40:56.785326252,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.787535529,phy1,2022-10-11 00:40:56.787535529,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.789726788,phy1,2022-10-11 00:40:56.789726788,txs,00:0a:52:07:3a:85,6,6,0,4,1,65535,0,65535,0,65535,0
2022-10-11 00:40:56.792119822,phy1,2022-10-11 00:40:56.792119822,txs,00:0a:52:07:3a:85,6,5,0,4,1,65535,0,65535,0,65535,0
