,timestamp,macaddr,FullSuccess_count,successful_rates
0,2022-10-26 11:54:22.286273089,9c:b6:d0:89:32:89,1,215.0
1,2022-10-26 11:54:22.290368416,9c:b6:d0:89:32:89,1,215.0
2,2022-10-26 11:54:22.296188037,9c:b6:d0:89:32:89,1,215.0
3,2022-10-26 11:54:22.299015837,9c:b6:d0:89:32:89,1,215.0
4,2022-10-26 11:54:22.299379053,9c:b6:d0:89:32:89,1,215.0
5,2022-10-26 11:54:22.300003441,9c:b6:d0:89:32:89,1,215.0
6,2022-10-26 11:54:22.302894253,9c:b6:d0:89:32:89,1,215.0
7,2022-10-26 11:54:22.303088505,9c:b6:d0:89:32:89,1,215.0
8,2022-10-26 11:54:22.584969147,9c:b6:d0:89:32:89,1,215.0
9,2022-10-26 11:54:22.860391119,bc:a8:a6:9c:6f:53,1,215.0
10,2022-10-26 11:54:22.860614534,bc:a8:a6:9c:6f:53,1,215.0
11,2022-10-26 11:54:22.860845995,bc:a8:a6:9c:6f:53,1,215.0
12,2022-10-26 11:54:22.861040519,bc:a8:a6:9c:6f:53,1,215.0
13,2022-10-26 11:54:23.231632858,9c:b6:d0:89:32:89,1,215.0
14,2022-10-26 11:54:23.451111575,9c:b6:d0:89:32:89,1,215.0
15,2022-10-26 11:54:23.879234530,b0:f1:d8:50:92:c1,1,215.0
16,2022-10-26 11:54:23.992964180,9c:b6:d0:89:32:89,1,215.0
17,2022-10-26 11:54:23.997764157,9c:b6:d0:89:32:89,1,215.0
18,2022-10-26 11:54:24.005437727,9c:b6:d0:89:32:89,1,215.0
19,2022-10-26 11:54:24.007745993,9c:b6:d0:89:32:89,1,215.0
20,2022-10-26 11:54:24.010014024,9c:b6:d0:89:32:89,1,215.0
21,2022-10-26 11:54:24.086285332,9c:b6:d0:89:32:89,1,215.0
22,2022-10-26 11:54:24.086552278,9c:b6:d0:89:32:89,1,215.0
23,2022-10-26 11:54:24.090280423,9c:b6:d0:89:32:89,1,215.0
24,2022-10-26 11:54:24.112376826,9c:b6:d0:89:32:89,1,215.0
25,2022-10-26 11:54:24.693373749,9c:b6:d0:89:32:89,1,215.0
26,2022-10-26 11:54:25.708226992,9c:b6:d0:89:32:89,1,215.0
27,2022-10-26 11:54:25.709162696,9c:b6:d0:89:32:89,1,215.0
28,2022-10-26 11:54:25.709371825,9c:b6:d0:89:32:89,1,215.0
29,2022-10-26 11:54:25.714557580,9c:b6:d0:89:32:89,1,215.0
30,2022-10-26 11:54:25.833172559,9c:b6:d0:89:32:89,1,215.0
31,2022-10-26 11:54:25.833722295,9c:b6:d0:89:32:89,1,215.0
32,2022-10-26 11:54:25.833874082,9c:b6:d0:89:32:89,1,215.0
33,2022-10-26 11:54:25.834531597,9c:b6:d0:89:32:89,1,215.0
34,2022-10-26 11:54:25.834760557,9c:b6:d0:89:32:89,1,215.0
35,2022-10-26 11:54:25.853830654,9c:b6:d0:89:32:89,1,215.0
36,2022-10-26 11:54:25.853944247,9c:b6:d0:89:32:89,1,215.0
37,2022-10-26 11:54:25.854124632,9c:b6:d0:89:32:89,1,215.0
38,2022-10-26 11:54:25.874728803,9c:b6:d0:89:32:89,1,215.0
39,2022-10-26 11:54:26.126578456,9c:b6:d0:89:32:89,1,215.0
40,2022-10-26 11:54:26.139662911,9c:b6:d0:89:32:89,1,215.0
41,2022-10-26 11:54:26.141764864,b0:f1:d8:50:92:c1,1,151.0
42,2022-10-26 11:54:26.269962409,b0:f1:d8:50:92:c1,1,151.0
43,2022-10-26 11:54:27.165408816,b0:f1:d8:50:92:c1,1,151.0
44,2022-10-26 11:54:27.421259328,b0:f1:d8:50:92:c1,1,151.0
45,2022-10-26 11:54:27.443461819,b0:f1:d8:50:92:c1,1,151.0
46,2022-10-26 11:54:27.450866392,b0:f1:d8:50:92:c1,1,151.0
47,2022-10-26 11:54:27.481640289,b0:f1:d8:50:92:c1,1,151.0
48,2022-10-26 11:54:27.503627085,9c:b6:d0:89:32:89,1,215.0
49,2022-10-26 11:54:27.585298820,b0:f1:d8:50:92:c1,1,151.0
50,2022-10-26 11:54:27.618593940,b0:f1:d8:50:92:c1,1,151.0
51,2022-10-26 11:54:27.662515954,b0:f1:d8:50:92:c1,1,151.0
52,2022-10-26 11:54:27.884591628,bc:a8:a6:9c:6f:53,1,215.0
53,2022-10-26 11:54:27.887791573,bc:a8:a6:9c:6f:53,1,215.0
54,2022-10-26 11:54:27.899445447,bc:a8:a6:9c:6f:53,1,215.0
55,2022-10-26 11:54:27.905119406,bc:a8:a6:9c:6f:53,1,215.0
56,2022-10-26 11:54:27.918567288,bc:a8:a6:9c:6f:53,1,215.0
57,2022-10-26 11:54:27.918586364,bc:a8:a6:9c:6f:53,1,215.0
58,2022-10-26 11:54:27.918776511,bc:a8:a6:9c:6f:53,2,215.0
59,2022-10-26 11:54:28.056710973,b0:f1:d8:50:92:c1,1,151.0
60,2022-10-26 11:54:28.182445250,9c:b6:d0:89:32:89,1,215.0
61,2022-10-26 11:54:28.182621888,9c:b6:d0:89:32:89,1,215.0
62,2022-10-26 11:54:28.199483937,9c:b6:d0:89:32:89,1,215.0
63,2022-10-26 11:54:28.272830921,9c:b6:d0:89:32:89,1,215.0
64,2022-10-26 11:54:28.335593032,b0:f1:d8:50:92:c1,1,151.0
