,radio,timestamp,txs,macaddr,num_frames,num_acked,probe,rate0,count0,rate1,count1,rate2,count2,rate3,count3
2022-10-26 11:54:33.494346946,phy1,2022-10-26 11:54:33.494346946,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.745627204,phy1,2022-10-26 11:54:33.745627204,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.777363134,phy1,2022-10-26 11:54:33.777363134,txs,b0:f1:d8:50:92:c1,1,1,1,214,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.810099106,phy1,2022-10-26 11:54:33.810099106,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,150,1,65535,0,65535,0
2022-10-26 11:54:33.845192008,phy1,2022-10-26 11:54:33.845192008,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.876940960,phy1,2022-10-26 11:54:33.876940960,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.883983682,phy1,2022-10-26 11:54:33.883983682,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.884235723,phy1,2022-10-26 11:54:33.884235723,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.905411544,phy1,2022-10-26 11:54:33.905411544,txs,b0:f1:d8:50:92:c1,1,1,1,215,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.911492233,phy1,2022-10-26 11:54:33.911492233,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
2022-10-26 11:54:33.924230151,phy1,2022-10-26 11:54:33.924230151,txs,b0:f1:d8:50:92:c1,1,1,0,151,1,65535,0,65535,0,65535,0
